Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)	1/98	8.914416e-02	1.258373e-01	0	0	1.138832e+01	2.753126e+01	DBH
GO_Biological_Process_2023	Protein Complex Oligomerization (GO:0051259)	1/100	9.088251e-02	1.258373e-01	0	0	1.115713e+01	2.675688e+01	RNF135
GO_Biological_Process_2023	Response To UV (GO:0009411)	1/100	9.088251e-02	1.258373e-01	0	0	1.115713e+01	2.675688e+01	IL12A
GO_Biological_Process_2023	Regulation Of Organelle Organization (GO:0033043)	1/100	9.088251e-02	1.258373e-01	0	0	1.115713e+01	2.675688e+01	SPATA4
GO_Biological_Process_2023	Regulation Of Protein Secretion (GO:0050708)	1/102	9.261773e-02	1.270186e-01	0	0	1.093509e+01	2.601759e+01	IL12A
GO_Biological_Process_2023	Positive Regulation Of Metabolic Process (GO:0009893)	1/108	9.780457e-02	1.316248e-01	0	0	1.031880e+01	2.398897e+01	DBH
GO_Biological_Process_2023	Lipid Transport (GO:0006869)	1/108	9.780457e-02	1.316248e-01	0	0	1.031880e+01	2.398897e+01	FABP6
GO_Biological_Process_2023	Response To Lipid (GO:0033993)	1/110	9.952726e-02	1.327030e-01	0	0	1.012844e+01	2.336959e+01	IL12A
GO_Biological_Process_2023	Regulation Of Cytoskeleton Organization (GO:0051493)	1/114	1.029633e-01	1.360249e-01	0	0	9.767945e+00	2.220628e+01	SPATA4
GO_Biological_Process_2023	Regulation Of Protein Binding (GO:0043393)	1/118	1.063869e-01	1.392702e-01	0	0	9.432099e+00	2.113424e+01	CARD18
GO_Biological_Process_2023	Protein-Containing Complex Organization (GO:0043933)	1/126	1.131971e-01	1.466291e-01	0	0	8.824889e+00	1.922612e+01	APBA1
GO_Biological_Process_2023	Regulation Of Response To External Stimulus (GO:0032101)	1/127	1.140449e-01	1.466291e-01	0	0	8.754409e+00	1.900725e+01	RNF135
GO_Biological_Process_2023	Protein Homooligomerization (GO:0051260)	1/129	1.157382e-01	1.472636e-01	0	0	8.616753e+00	1.858138e+01	RNF135
GO_Biological_Process_2023	Positive Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050731)	1/130	1.165837e-01	1.472636e-01	0	0	8.549526e+00	1.837418e+01	IL12A
GO_Biological_Process_2023	Protein Localization To Organelle (GO:0033365)	1/137	1.224808e-01	1.533672e-01	0	0	8.106618e+00	1.702229e+01	CROCC
GO_Biological_Process_2023	Regulation Of Cell Adhesion (GO:0030155)	1/144	1.283406e-01	1.593193e-01	0	0	7.707071e+00	1.582314e+01	IL12A
GO_Biological_Process_2023	Regulation Of Cold-Induced Thermogenesis (GO:0120161)	1/146	1.300080e-01	1.600098e-01	0	0	7.600000e+00	1.550521e+01	DBH
GO_Biological_Process_2023	Response To Lipopolysaccharide (GO:0032496)	1/159	1.407727e-01	1.717904e-01	0	0	6.970113e+00	1.366566e+01	IL12A
GO_Biological_Process_2023	Negative Regulation Of Cytokine Production (GO:0001818)	1/178	1.562790e-01	1.891107e-01	0	0	6.215945e+00	1.153749e+01	IL12A
GO_Biological_Process_2023	RNA Splicing, Via Transesterification Reactions With Bulged Adenosine As Nucleophile (GO:0000377)	1/180	1.578957e-01	1.894748e-01	0	0	6.145872e+00	1.134418e+01	PPIL3
GO_Biological_Process_2023	Defense Response To Virus (GO:0051607)	1/189	1.651347e-01	1.965240e-01	0	0	5.848995e+00	1.053400e+01	RNF135
GO_Biological_Process_2023	Defense Response To Bacterium (GO:0042742)	1/204	1.770689e-01	2.089994e-01	0	0	5.412698e+00	9.370551e+00	IL12A
